223	1694121448.955037629	132.235.3.193,132.235.3.221	51770,1113	1	0	0x00			
265	1694121448.955648404	132.235.3.193,132.235.3.221	51770,1113	1	61391	0x00			
307	1694121448.956150284	132.235.3.193,132.235.3.221	51770,1113	1	122780	0x00			
349	1694121448.956654866	132.235.3.193,132.235.3.221	51770,1113	1	184169	0x00			
391	1694121448.957308690	132.235.3.193,132.235.3.221	51770,1113	1	245558	0x00			
433	1694121448.958005407	132.235.3.193,132.235.3.221	51770,1113	1	306947	0x00			
475	1694121448.958689407	132.235.3.193,132.235.3.221	51770,1113	1	368336	0x00			
517	1694121448.959355326	132.235.3.193,132.235.3.221	51770,1113	1	429725	0x00			
559	1694121448.960076319	132.235.3.193,132.235.3.221	51770,1113	1	491114	0x00			
601	1694121448.960737964	132.235.3.193,132.235.3.221	51770,1113	1	552503	0x00			
643	1694121448.961401794	132.235.3.193,132.235.3.221	51770,1113	1	613892	0x00			
685	1694121448.962126405	132.235.3.193,132.235.3.221	51770,1113	1	675281	0x00			
727	1694121448.962776345	132.235.3.193,132.235.3.221	51770,1113	1	736670	0x00			
769	1694121448.963457569	132.235.3.193,132.235.3.221	51770,1113	1	798059	0x00			
811	1694121448.964121611	132.235.3.193,132.235.3.221	51770,1113	1	859448	0x00			
853	1694121448.964827769	132.235.3.193,132.235.3.221	51770,1113	1	920837	0x00			
895	1694121448.965492548	132.235.3.193,132.235.3.221	51770,1113	1	982226	0x00			
937	1694121448.966176273	132.235.3.193,132.235.3.221	51770,1113	1	1043615	0x00			
948	1694121448.966789720	132.235.3.193,132.235.3.221	51770,1113	1	1105004	0x03			
1001	1694121449.945928613	132.235.3.193,132.235.3.221	51770,1113	2	0	0x00			
1043	1694121449.946572506	132.235.3.193,132.235.3.221	51770,1113	2	61391	0x00			
1085	1694121449.947071556	132.235.3.193,132.235.3.221	51770,1113	2	122780	0x00			
1127	1694121449.947553735	132.235.3.193,132.235.3.221	51770,1113	2	184169	0x00			
1151	1694121449.948076375	132.235.3.193,132.235.3.221	51770,1113	2	245558	0x03			
1179	1694121451.946058786	132.235.3.193,132.235.3.221	51770,1113	1	1105004	0x03			
1223	1694121452.946375129	132.235.3.193,132.235.3.221	51770,1113	2	245558	0x03			
1256	1694121454.946642268	132.235.3.193,132.235.3.221	51770,1113	1	1105004	0x03			
1291	1694121455.947066525	132.235.3.193,132.235.3.221	51770,1113	2	245558	0x03			
1338	1694121457.947319199	132.235.3.193,132.235.3.221	51770,1113	1	1105004	0x03			
1376	1694121458.947488061	132.235.3.193,132.235.3.221	51770,1113	2	245558	0x03			
1403	1694121460.947869510	132.235.3.193,132.235.3.221	51770,1113	1		0x0c			
1445	1694121460.954459285	132.235.3.193,132.235.3.221	51770,1113	3	0	0x00			
1487	1694121460.955008340	132.235.3.193,132.235.3.221	51770,1113	3	61391	0x00			
1529	1694121460.955509332	132.235.3.193,132.235.3.221	51770,1113	3	122780	0x00			
1571	1694121460.956012386	132.235.3.193,132.235.3.221	51770,1113	3	184169	0x00			
1613	1694121460.956677717	132.235.3.193,132.235.3.221	51770,1113	3	245558	0x00			
1655	1694121460.957355175	132.235.3.193,132.235.3.221	51770,1113	3	306947	0x00			
1697	1694121460.958042504	132.235.3.193,132.235.3.221	51770,1113	3	368336	0x00			
1739	1694121460.958705796	132.235.3.193,132.235.3.221	51770,1113	3	429725	0x00			
1781	1694121460.959444780	132.235.3.193,132.235.3.221	51770,1113	3	491114	0x00			
1823	1694121460.960075575	132.235.3.193,132.235.3.221	51770,1113	3	552503	0x00			
1865	1694121460.960750712	132.235.3.193,132.235.3.221	51770,1113	3	613892	0x00			
1907	1694121460.961427539	132.235.3.193,132.235.3.221	51770,1113	3	675281	0x00			
1949	1694121460.962115337	132.235.3.193,132.235.3.221	51770,1113	3	736670	0x00			
1991	1694121460.962803582	132.235.3.193,132.235.3.221	51770,1113	3	798059	0x00			
2033	1694121460.963470504	132.235.3.193,132.235.3.221	51770,1113	3	859448	0x00			
2075	1694121460.964198203	132.235.3.193,132.235.3.221	51770,1113	3	920837	0x00			
2117	1694121460.964844231	132.235.3.193,132.235.3.221	51770,1113	3	982226	0x00			
2159	1694121460.965521802	132.235.3.193,132.235.3.221	51770,1113	3	1043615	0x00			
2170	1694121460.965885957	132.235.3.193,132.235.3.221	51770,1113	3	1105004	0x03			
2179	1694121461.948240322	132.235.3.193,132.235.3.221	51770,1113	2		0x0c			
2245	1694121462.949183189	132.235.3.193,132.235.3.221	51770,1113	4	0	0x00			
2287	1694121462.949677908	132.235.3.193,132.235.3.221	51770,1113	4	61391	0x00			
2329	1694121462.949931809	132.235.3.193,132.235.3.221	51770,1113	4	122780	0x00			
2371	1694121462.950432647	132.235.3.193,132.235.3.221	51770,1113	4	184169	0x00			
2395	1694121462.950999756	132.235.3.193,132.235.3.221	51770,1113	4	245558	0x03			
2404	1694121463.948725929	132.235.3.193,132.235.3.221	51770,1113	1		0x0c			
2415	1694121463.948866396	132.235.3.193,132.235.3.221	51770,1113	3	1105004	0x03			
2429	1694121464.948997316	132.235.3.193,132.235.3.221	51770,1113	2		0x0c			
2463	1694121465.949238108	132.235.3.193,132.235.3.221	51770,1113	4	245558	0x03			
2474	1694121466.949434013	132.235.3.193,132.235.3.221	51770,1113	1		0x0c			
2485	1694121466.949573219	132.235.3.193,132.235.3.221	51770,1113	3	1105004	0x03			
2506	1694121467.949696078	132.235.3.193,132.235.3.221	51770,1113	2		0x0c			
2543	1694121468.949954887	132.235.3.193,132.235.3.221	51770,1113	4	245558	0x03			
2557	1694121469.950142765	132.235.3.193,132.235.3.221	51770,1113	1		0x0c			
2568	1694121469.950284626	132.235.3.193,132.235.3.221	51770,1113	3	1105004	0x03			
2580	1694121470.950404578	132.235.3.193,132.235.3.221	51770,1113	2		0x0c			
2612	1694121471.951063577	132.235.3.193,132.235.3.221	51770,1113	4	245558	0x03			
2637	1694121472.950980141	132.235.3.193,132.235.3.221	51770,1113	3		0x0c			
2679	1694121472.956977068	132.235.3.193,132.235.3.221	51770,1113	5	0	0x00			
2721	1694121472.957274189	132.235.3.193,132.235.3.221	51770,1113	5	61391	0x00			
2763	1694121472.957762345	132.235.3.193,132.235.3.221	51770,1113	5	122780	0x00			
2805	1694121472.958274215	132.235.3.193,132.235.3.221	51770,1113	5	184169	0x00			
2847	1694121472.958835133	132.235.3.193,132.235.3.221	51770,1113	5	245558	0x00			
2889	1694121472.959501467	132.235.3.193,132.235.3.221	51770,1113	5	306947	0x00			
2931	1694121472.960157220	132.235.3.193,132.235.3.221	51770,1113	5	368336	0x00			
